rsi_length,rsi_overbought,rsi_oversold,sl_multiplier,tp_multiplier,total_pnl,max_drawdown,total_trades,profitable_trades,profitable_pct,profit_factor,final_equity
8,60.0,40.0,0.9,1.3,-10.781,10.78,22,4,18.18,0.1241,89.22
8,60.0,40.0,0.9,1.4,-10.2771,10.28,22,6,27.27,0.152,89.72
8,60.0,40.0,0.9,1.5,-13.1041,13.1,27,6,22.22,0.1443,86.9
8,60.0,40.0,0.9,1.6,-15.1969,15.2,32,9,28.12,0.147,84.8
8,60.0,40.0,0.9,1.7,-16.4625,16.46,35,9,25.71,0.1581,83.54
8,60.0,40.0,0.9,1.8,-23.1293,23.13,41,8,19.51,0.0818,76.87
8,60.0,40.0,0.9,1.9,-25.5217,25.52,44,8,18.18,0.0866,74.48
8,60.0,40.0,0.9,2.0,-28.2474,28.25,50,8,16.0,0.0896,71.75
8,60.0,40.0,0.9,2.1,-29.7184,29.72,53,9,16.98,0.0805,70.28
8,60.0,40.0,0.9,2.2,-33.0488,33.05,60,10,16.67,0.0829,66.95
8,60.0,40.0,0.9,2.3,-33.9006,33.9,62,11,17.74,0.0908,66.1
8,60.0,40.0,0.9,2.4,-35.9948,35.99,69,12,17.39,0.0957,64.01
8,60.0,40.0,0.9,2.5,-35.7729,35.77,72,12,16.67,0.1061,64.23
8,60.0,40.0,1.0,1.0,-5.6215,5.62,10,2,20.0,0.1121,94.38
8,60.0,40.0,1.0,1.1,-6.4687,6.5,13,4,30.77,0.1285,93.53
8,60.0,40.0,1.0,1.2,-8.2534,8.33,18,4,22.22,0.1306,91.75
8,60.0,40.0,1.0,1.3,-8.8889,8.89,21,4,19.05,0.1466,91.11
8,60.0,40.0,1.0,1.4,-8.315,8.4,21,6,28.57,0.1814,91.68
8,60.0,40.0,1.0,1.5,-11.1823,11.21,26,7,26.92,0.1666,88.82
8,60.0,40.0,1.0,1.6,-14.0883,14.15,31,10,32.26,0.1599,85.91
8,60.0,40.0,1.0,1.7,-17.614,17.72,34,9,26.47,0.0929,82.39
8,60.0,40.0,1.0,1.8,-21.3907,21.53,40,10,25.0,0.094,78.61
8,60.0,40.0,1.0,1.9,-23.8035,23.98,43,10,23.26,0.1001,76.2
8,60.0,40.0,1.0,2.0,-28.1264,28.34,49,9,18.37,0.0837,71.87
